Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im003_1 6 4 4 4 66.66666666666667 66.66666666666667 66.66666666666667
Im004_1 4 4 3 3 100.0 75.0 75.0
Im006_1 13 8 12 12 61.53846153846154 92.3076923076923 92.3076923076923
Im007_1 4 0 20 216 0.0 -300.0 -5200.0
Im008_1 6 2 9 9 33.333333333333336 50.0 50.0
Im009_1 12 3 8 7 25.0 66.66666666666667 58.33333333333333
Im010_1 9 0 7 6 0.0 77.77777777777779 66.66666666666667
Im011_1 12 5 10 9 41.666666666666664 83.33333333333334 75.0
Im012_1 3 1 3 3 33.333333333333336 100.0 100.0
Im013_1 12 4 9 9 33.333333333333336 75.0 75.0
Im014_1 5 3 4 4 60.0 80.0 80.0
Im015_1 8 2 8 8 25.0 100.0 100.0
Im016_1 7 1 6 6 14.28571428571429 85.71428571428572 85.71428571428572
Im017_1 14 7 14 13 50.0 100.0 92.85714285714286
Im018_1 7 3 7 7 42.85714285714286 100.0 100.0
Im019_1 6 4 6 6 66.66666666666667 100.0 100.0
Im020_1 14 10 14 14 71.42857142857143 100.0 100.0
Im021_1 20 8 20 20 40.0 100.0 100.0
Im022_1 12 6 12 12 50.0 100.0 100.0
Im023_1 15 9 15 15 60.0 100.0 100.0
Im025_1 10 5 8 7 50.0 80.0 70.0
Im026_1 22 16 20 24 72.72727272727273 90.9090909090909 90.9090909090909
Im027_1 19 9 19 19 47.36842105263158 100.0 100.0
Im028_1 18 9 18 18 50.0 100.0 100.0
Im029_1 13 9 11 11 69.23076923076923 84.61538461538461 84.61538461538461
Im030_1 12 9 12 12 75.0 100.0 100.0
Im031_1 16 12 14 14 75.0 87.5 87.5
Im032_1 7 5 6 6 71.42857142857143 85.71428571428572 85.71428571428572
Im033_1 9 6 9 9 66.66666666666667 100.0 100.0
Im034_0 20 16 20 435 80.0 100.0 -1975.0
Im035_0 15 8 14 14 53.333333333333336 93.33333333333333 93.33333333333333
Im036_0 17 6 16 16 35.29411764705882 94.11764705882352 94.11764705882352
Im037_0 4 3 3 3 75.0 75.0 75.0
Im038_0 10 4 9 9 40.0 90.0 90.0
Im039_0 10 0 8 8 0.0 80.0 80.0
Im040_0 20 21 20 31 95.0 100.0 44.99999999999999
Im041_0 15 6 15 15 40.0 100.0 100.0
Im042_0 19 8 19 19 42.10526315789473 100.0 100.0
Im043_0 13 7 13 13 53.84615384615385 100.0 100.0
Im044_0 14 2 14 14 14.28571428571429 100.0 100.0
Im045_0 16 5 16 16 31.25 100.0 100.0
Im046_0 20 1 20 415 5.000000000000004 100.0 -1875.0
Im047_0 9 2 9 9 22.22222222222222 100.0 100.0
