Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im001_1 0 0 0 0 100.0 100.0 100.0
Im004_1 4 2 3 2 50.0 75.0 50.0
Im015_1 7 1 2 1 14.29 28.57 14.29
Im022_1 15 8 10 8 53.33 66.67 53.33
Im037_0 6 5 6 5 83.33 100.0 83.33
Im045_0 39 24 25 24 61.54 64.1 61.54
Im050_1 10 8 8 8 80.0 80.0 80.0
Im053_1 12 9 12 9 75.0 100.0 75.0
Im069_0 3 3 3 3 100.0 100.0 100.0
Im079_0 0 2 3 2 0.0 0.0 0.0
Im095_0 7 6 6 6 85.71 85.71 85.71
Im099_0 37 26 26 26 70.27 70.27 70.27
Im108_0 5 6 7 6 80.0 60.0 80.0
Total -1 -1 -1 -1 65.65 71.56 65.65
