Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy Accuracy
Im001_1 0 0 5 5 nan -inf -inf -inf
Im002_1 0 1 6 6 -inf -inf -inf -inf
Im003_1 17 0 4 4 0.0 23.529411764705888 23.529411764705888 23.529411764705888
Im004_1 4 1 3 3 25.0 75.0 75.0 75.0
Im005_1 0 0 5 5 nan -inf -inf -inf
Im006_1 13 1 12 12 7.692307692307687 92.3076923076923 92.3076923076923 92.3076923076923
Im007_1 4 0 20 216 0.0 -300.0 -5200.0 -5200.0
Im008_1 6 0 9 9 0.0 50.0 50.0 50.0
Im009_1 14 1 8 7 7.14285714285714 57.14285714285714 50.0 50.0
Im010_1 9 0 7 6 0.0 77.77777777777779 66.66666666666667 66.66666666666667
Im011_1 13 0 10 9 0.0 76.92307692307692 69.23076923076923 69.23076923076923
Im012_1 3 0 3 3 0.0 100.0 100.0 100.0
Im013_1 11 1 9 9 9.090909090909093 81.81818181818181 81.81818181818181 81.81818181818181
Im014_1 12 0 4 4 0.0 33.333333333333336 33.333333333333336 33.333333333333336
Im015_1 0 0 8 8 nan -inf -inf -inf
Im016_1 0 0 6 6 nan -inf -inf -inf
Im017_1 0 0 14 13 nan -inf -inf -inf
Im018_1 0 1 7 7 -inf -inf -inf -inf
Im019_1 0 0 6 6 nan -inf -inf -inf
Im020_1 0 1 14 14 -inf -inf -inf -inf
Im021_1 0 2 20 20 -inf -inf -inf -inf
Im022_1 0 1 12 12 -inf -inf -inf -inf
Im023_1 0 1 15 15 -inf -inf -inf -inf
Im024_1 0 1 11 11 -inf -inf -inf -inf
Im025_1 0 2 8 7 -inf -inf -inf -inf
Im026_1 0 4 20 24 -inf -inf -inf -inf
Im027_1 0 3 19 19 -inf -inf -inf -inf
Im028_1 0 3 18 18 -inf -inf -inf -inf
Im029_1 0 3 11 11 -inf -inf -inf -inf
Im030_1 0 5 12 12 -inf -inf -inf -inf
Im031_1 0 3 14 14 -inf -inf -inf -inf
Im032_1 0 1 6 6 -inf -inf -inf -inf
Im033_1 0 2 9 9 -inf -inf -inf -inf
Im034_0 0 0 20 435 nan -inf -inf -inf
Im035_0 0 1 14 14 -inf -inf -inf -inf
Im036_0 0 0 16 16 nan -inf -inf -inf
Im037_0 0 0 3 3 nan -inf -inf -inf
Im038_0 0 0 9 9 nan -inf -inf -inf
Im039_0 0 0 8 8 nan -inf -inf -inf
Im040_0 0 4 20 31 -inf -inf -inf -inf
Im041_0 0 1 15 15 -inf -inf -inf -inf
Im042_0 0 2 19 19 -inf -inf -inf -inf
Im043_0 0 2 13 13 -inf -inf -inf -inf
Im044_0 0 0 14 14 nan -inf -inf -inf
Im045_0 0 0 16 16 nan -inf -inf -inf
Im046_0 0 0 20 415 nan -inf -inf -inf
Im047_0 0 1 9 9 -inf -inf -inf -inf
Im048_1 0 0 8 8 nan -inf -inf -inf
Im049_1 0 0 7 7 nan -inf -inf -inf
Im050_1 0 2 7 7 -inf -inf -inf -inf
Im051_1 0 0 20 425 nan -inf -inf -inf
Im052_1 0 1 20 405 -inf -inf -inf -inf
Im053_1 0 0 12 11 nan -inf -inf -inf
Im054_1 0 0 20 458 nan -inf -inf -inf
Im055_1 0 0 5 5 nan -inf -inf -inf
Im056_1 0 0 4 4 nan -inf -inf -inf
Im057_1 0 0 20 411 nan -inf -inf -inf
Im058_1 0 1 10 10 -inf -inf -inf -inf
Im059_1 0 0 6 6 nan -inf -inf -inf
Im060_1 0 0 7 7 nan -inf -inf -inf
Im061_1 0 0 9 9 nan -inf -inf -inf
Im062_1 0 1 5 5 -inf -inf -inf -inf
Im063_1 0 1 12 12 -inf -inf -inf -inf
Im064_0 0 0 20 372 nan -inf -inf -inf
Im065_0 0 0 3 3 nan -inf -inf -inf
Im066_0 0 0 3 3 nan -inf -inf -inf
Im067_0 0 0 5 5 nan -inf -inf -inf
Im068_0 0 0 20 436 nan -inf -inf -inf
Im069_0 0 2 2 2 -inf -inf -inf -inf
Im070_0 0 0 2 2 nan -inf -inf -inf
Im071_0 0 0 20 445 nan -inf -inf -inf
Im072_0 0 0 20 401 nan -inf -inf -inf
Im073_0 0 0 20 425 nan -inf -inf -inf
Im074_0 0 0 20 404 nan -inf -inf -inf
Im075_0 0 0 20 351 nan -inf -inf -inf
Im076_0 0 1 3 3 -inf -inf -inf -inf
Im077_0 0 1 4 3 -inf -inf -inf -inf
Im078_0 0 0 20 425 nan -inf -inf -inf
Im079_0 0 0 20 433 nan -inf -inf -inf
Im080_0 0 0 20 468 nan -inf -inf -inf
Im081_0 0 1 2 2 -inf -inf -inf -inf
