Image Real_Count CHT CCL CHT_Accuracy CCL_Accuracy
Im003_1 6 6 4 100.0 66.66666666666667
Im004_1 4 6 3 50.0 75.0
Im006_1 13 10 12 76.92307692307692 92.3076923076923
Im007_1 4 1 20 25.0 -300.0
Im008_1 6 5 9 83.33333333333334 50.0
Im009_1 12 8 8 66.66666666666667 66.66666666666667
Im010_1 9 8 7 88.88888888888889 77.77777777777779
Im011_1 12 7 10 58.33333333333333 83.33333333333334
Im012_1 3 2 3 66.66666666666667 100.0
Im013_1 12 11 9 91.66666666666666 75.0
Im014_1 5 9 4 19.999999999999996 80.0
Im015_1 8 5 8 62.5 100.0
Im016_1 7 8 6 85.71428571428572 85.71428571428572
Im017_1 14 14 14 100.0 100.0
Im018_1 7 9 7 71.42857142857143 100.0
Im019_1 6 10 6 33.333333333333336 100.0
Im020_1 14 18 14 71.42857142857143 100.0
Im021_1 20 14 20 70.0 100.0
Im022_1 12 12 12 100.0 100.0
Im023_1 15 16 15 93.33333333333333 100.0
Im025_1 10 10 8 100.0 80.0
Im026_1 22 27 20 77.27272727272727 90.9090909090909
Im027_1 19 20 19 94.73684210526316 100.0
Im028_1 18 19 18 94.44444444444444 100.0
Im029_1 13 18 11 61.53846153846154 84.61538461538461
Im030_1 12 11 12 91.66666666666666 100.0
Im031_1 16 18 14 87.5 87.5
Im032_1 7 5 6 71.42857142857143 85.71428571428572
Im033_1 9 10 9 88.88888888888889 100.0
Im034_0 20 66 20 -129.99999999999997 100.0
Im035_0 15 18 14 80.0 93.33333333333333
Im036_0 17 17 16 100.0 94.11764705882352
Im037_0 4 4 3 100.0 75.0
Im038_0 10 9 9 90.0 90.0
Im039_0 10 4 8 40.0 80.0
Im040_0 20 34 20 30.000000000000004 100.0
Im041_0 15 11 15 73.33333333333334 100.0
Im042_0 19 14 19 73.6842105263158 100.0
Im043_0 13 13 13 100.0 100.0
Im044_0 14 11 14 78.57142857142857 100.0
Im045_0 16 18 16 87.5 100.0
Im046_0 20 13 20 65.0 100.0
Im047_0 9 8 9 88.88888888888889 100.0
Im048_1 8 6 8 75.0 100.0
Im049_1 7 8 7 85.71428571428572 100.0
Im050_1 7 7 7 100.0 100.0
Im051_1 20 10 20 50.0 100.0
Im052_1 20 3 20 15.000000000000002 100.0
Im053_1 12 18 12 50.0 100.0
Im054_1 20 4 20 19.999999999999996 100.0
Im055_1 5 5 5 100.0 100.0
Im056_1 4 1 4 25.0 100.0
Im057_1 20 10 20 50.0 100.0
Im058_1 10 11 10 90.0 100.0
Im059_1 6 14 6 -33.33333333333333 100.0
Im060_1 7 5 7 71.42857142857143 100.0
Im061_1 9 13 9 55.55555555555556 100.0
Im062_1 5 10 5 0.0 100.0
Im063_1 12 18 12 50.0 100.0
Im064_0 20 23 20 85.0 100.0
Im065_0 3 2 3 66.66666666666667 100.0
Im066_0 3 6 3 0.0 100.0
Im067_0 5 4 5 80.0 100.0
Im068_0 20 9 20 44.99999999999999 100.0
Im069_0 2 3 2 50.0 100.0
Im070_0 2 6 2 -100.0 100.0
Im071_0 20 17 20 85.0 100.0
Im072_0 20 53 20 -64.99999999999999 100.0
Im073_0 20 117 20 -384.99999999999994 100.0
Im074_0 20 23 20 85.0 100.0
Im075_0 20 2 20 9.999999999999998 100.0
Im076_0 3 6 3 0.0 100.0
Im077_0 4 4 4 100.0 100.0
Im078_0 20 52 20 -60.00000000000001 100.0
Im080_0 20 93 20 -265.0 100.0
Im081_0 2 3 2 50.0 100.0
Im082_0 20 8 20 40.0 100.0
Im084_0 20 33 20 35.0 100.0
Im085_0 20 1 20 5.000000000000004 100.0
Im087_0 4 10 4 -50.0 100.0
Im088_0 6 42 6 -500.0 100.0
Im089_0 20 71 20 -154.99999999999997 100.0
Im090_0 3 3 3 100.0 100.0
Im091_0 20 17 20 85.0 100.0
Im092_0 20 10 20 50.0 100.0
Im093_0 20 5 20 25.0 100.0
Im094_0 20 24 20 80.0 100.0
Im095_0 20 0 20 0.0 100.0
Im096_0 10 16 10 40.0 100.0
Im097_0 8 11 8 62.5 100.0
Im098_0 20 25 20 75.0 100.0
Im099_0 14 18 14 71.42857142857143 100.0
Im100_0 9 13 9 55.55555555555556 100.0
Im101_0 17 14 17 82.35294117647058 100.0
Im102_0 15 17 15 86.66666666666667 100.0
Im103_0 13 13 13 100.0 100.0
Im104_0 17 18 17 94.11764705882352 100.0
Im105_0 2 3 2 50.0 100.0
Im106_0 7 12 7 28.57142857142857 100.0
Im107_0 10 12 10 80.0 100.0
Im108_0 20 5 20 25.0 100.0
CHT Accuracy: 41.70193809773248
CCL Accuracy: 92.21441746631031
