Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im001_1 18 13 13 16 72.22 72.22 88.89
Im004_1 12 11 9 12 91.67 75.0 100.0
Im015_1 22 18 15 21 81.82 68.18 95.45
Im022_1 5 5 5 5 100.0 100.0 100.0
Im037_0 1 0 1 1 0 100.0 100.0
Im045_0 1 1 1 1 100.0 100.0 100.0
Im050_1 21 29 20 21 61.9 95.24 100.0
Im053_1 45 44 43 44 97.78 95.56 97.78
Im069_0 1 1 1 1 100.0 100.0 100.0
Im079_0 7 7 9 9 100.0 71.43 71.43
Im095_0 2 2 2 2 100.0 100.0 100.0
Im099_0 3 1 3 3 33.33 100.0 100.0
Im108_0 4 4 8 4 100.0 0 100.0
Total -1 -1 -1 -1 79.9 82.89 96.43
