Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im001_1 18 13 13 16 72.22222222222221 72.22222222222221 88.88888888888889
Im002_1 21 17 17 21 80.95238095238095 80.95238095238095 100.0
Im003_1 15 13 11 15 86.66666666666667 73.33333333333334 100.0
Im004_1 12 11 9 12 91.66666666666666 75.0 100.0
Im005_1 36 31 28 35 86.11111111111111 77.77777777777779 97.22222222222221
Im006_1 25 24 18 23 96.0 72.0 92.0
Im007_1 12 12 9 12 100.0 75.0 100.0
Im008_1 25 18 18 22 72.0 72.0 88.0
Im009_1 13 12 12 13 92.3076923076923 92.3076923076923 100.0
Im010_1 19 16 17 20 84.21052631578947 89.47368421052632 94.73684210526316
Im011_1 20 21 17 19 95.0 85.0 95.0
Im012_1 17 15 15 16 88.23529411764706 88.23529411764706 94.11764705882352
Im013_1 14 13 11 12 92.85714285714286 78.57142857142857 85.71428571428572
Im014_1 14 9 10 11 64.28571428571428 71.42857142857143 78.57142857142857
Im015_1 22 18 15 21 81.81818181818181 68.18181818181819 95.45454545454545
Im016_1 23 20 21 23 86.95652173913044 91.30434782608697 100.0
Im017_1 3 3 2 3 100.0 66.66666666666667 100.0
Im018_1 21 17 18 20 80.95238095238095 85.71428571428572 95.23809523809523
Im019_1 24 19 18 23 79.16666666666666 75.0 95.83333333333334
Im020_1 2 2 2 2 100.0 100.0 100.0
Im021_1 3 3 3 3 100.0 100.0 100.0
Im022_1 5 5 5 5 100.0 100.0 100.0
Im023_1 7 7 7 7 100.0 100.0 100.0
Im024_1 4 4 5 4 100.0 75.0 100.0
Im025_1 3 3 3 3 100.0 100.0 100.0
Im026_1 6 5 6 5 83.33333333333334 100.0 83.33333333333334
Im027_1 4 3 4 4 75.0 100.0 100.0
Im028_1 2 1 2 2 50.0 100.0 100.0
Im029_1 5 3 5 5 60.0 100.0 100.0
Im030_1 4 6 5 4 50.0 75.0 100.0
Im031_1 2 2 2 2 100.0 100.0 100.0
Im032_1 2 2 2 2 100.0 100.0 100.0
Im033_1 2 2 2 2 100.0 100.0 100.0
Im034_0 2 1 2 2 50.0 100.0 100.0
Im035_0 1 1 1 1 100.0 100.0 100.0
Im036_0 2 2 2 1 100.0 100.0 50.0
Im037_0 1 0 1 1 0 100.0 100.0
Im038_0 1 1 1 1 100.0 100.0 100.0
Im039_0 1 1 1 1 100.0 100.0 100.0
Im040_0 1 1 1 2 100.0 100.0 0
Im041_0 2 2 2 1 100.0 100.0 50.0
Im042_0 2 1 2 1 50.0 100.0 50.0
Im043_0 2 2 2 2 100.0 100.0 100.0
Im044_0 2 2 2 2 100.0 100.0 100.0
Im045_0 1 1 1 1 100.0 100.0 100.0
Im046_0 1 1 1 1 100.0 100.0 100.0
Im047_0 2 2 2 2 100.0 100.0 100.0
Im048_1 24 26 21 26 91.66666666666666 87.5 91.66666666666666
Im049_1 25 19 22 20 76.0 88.0 80.0
Im050_1 21 29 18 21 61.904761904761905 85.71428571428572 100.0
Im051_1 25 24 13 19 96.0 52.0 76.0
Im052_1 31 30 22 36 96.7741935483871 70.96774193548387 83.87096774193549
Im053_1 45 44 43 44 97.77777777777777 95.55555555555556 97.77777777777777
Im054_1 20 18 17 20 90.0 85.0 100.0
Im055_1 27 27 24 28 100.0 88.88888888888889 96.2962962962963
Im056_1 21 24 16 16 85.71428571428572 76.19047619047619 76.19047619047619
Im057_1 22 24 19 21 90.9090909090909 86.36363636363636 95.45454545454545
Im058_1 31 33 27 31 93.5483870967742 87.09677419354838 100.0
Im059_1 44 56 31 38 72.72727272727273 70.45454545454545 86.36363636363636
Im060_1 16 22 14 16 62.5 87.5 100.0
