Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy Accuracy
Im001_1 18 39 20 17 -16.666666666666675 88.88888888888889 94.44444444444444 94.44444444444444
Im002_1 21 44 20 20 -9.523809523809534 95.23809523809523 95.23809523809523 95.23809523809523
Im003_1 16 39 20 14 -43.75 75.0 87.5 87.5
Im004_1 12 21 13 11 25.0 91.66666666666666 91.66666666666666 91.66666666666666
Im005_1 36 231 20 35 -441.6666666666667 55.55555555555556 97.22222222222221 97.22222222222221
Im006_1 25 72 20 20 -87.99999999999999 80.0 80.0 80.0
Im007_1 13 24 14 12 15.384615384615385 92.3076923076923 92.3076923076923 92.3076923076923
Im008_1 25 26 20 24 96.0 80.0 96.0 96.0
Im009_1 13 13 14 12 100.0 92.3076923076923 92.3076923076923 92.3076923076923
Im010_1 19 24 20 18 73.6842105263158 94.73684210526316 94.73684210526316 94.73684210526316
Im011_1 20 71 20 22 -154.99999999999997 100.0 90.0 90.0
Im012_1 17 23 18 15 64.70588235294117 94.11764705882352 88.23529411764706 88.23529411764706
Im013_1 14 28 17 15 0.0 78.57142857142857 92.85714285714286 92.85714285714286
Im014_1 14 8 15 11 57.14285714285714 92.85714285714286 78.57142857142857 78.57142857142857
Im015_1 22 25 20 20 86.36363636363636 90.9090909090909 90.9090909090909 90.9090909090909
Im016_1 23 30 20 26 69.56521739130434 86.95652173913044 86.95652173913044 86.95652173913044
Im017_1 3 3 5 5 100.0 33.333333333333336 33.333333333333336 33.333333333333336
Im018_1 21 18 20 19 85.71428571428572 95.23809523809523 90.47619047619048 90.47619047619048
Im019_1 26 46 20 20 23.076923076923073 76.92307692307692 76.92307692307692 76.92307692307692
Im020_1 2 1 3 3 50.0 50.0 50.0 50.0
Im021_1 3 2 4 4 66.66666666666667 66.66666666666667 66.66666666666667 66.66666666666667
Im022_1 5 5 7 7 100.0 60.0 60.0 60.0
Im023_1 7 7 9 9 100.0 71.42857142857143 71.42857142857143 71.42857142857143
Im024_1 5 5 9 7 100.0 19.999999999999996 60.0 60.0
Im025_1 3 3 3 3 100.0 100.0 100.0 100.0
Im026_1 6 4 7 7 66.66666666666667 83.33333333333334 83.33333333333334 83.33333333333334
Im027_1 4 1 4 4 25.0 100.0 100.0 100.0
Im028_1 2 1 3 3 50.0 50.0 50.0 50.0
Im029_1 5 3 5 5 60.0 100.0 100.0 100.0
Im030_1 4 39 10 4 -775.0 -50.0 100.0 100.0
Im031_1 2 2 5 5 100.0 -50.0 -50.0 -50.0
Im032_1 3 1 3 3 33.333333333333336 100.0 100.0 100.0
Im033_1 2 2 2 2 100.0 100.0 100.0 100.0
Im034_0 2 6 5 4 -100.0 -50.0 0.0 0.0
Im035_0 1 1 1 1 100.0 100.0 100.0 100.0
Im036_0 2 2 4 2 100.0 0.0 100.0 100.0
Im037_0 1 3 1 1 -100.0 100.0 100.0 100.0
Im038_0 1 1 1 1 100.0 100.0 100.0 100.0
Im039_0 1 1 1 1 100.0 100.0 100.0 100.0
Im040_0 1 1 1 1 100.0 100.0 100.0 100.0
Im041_0 2 1 4 3 50.0 0.0 50.0 50.0
Im042_0 2 1 3 2 50.0 50.0 100.0 100.0
Im043_0 2 1 2 2 50.0 100.0 100.0 100.0
Im044_0 2 2 2 2 100.0 100.0 100.0 100.0
Im045_0 1 1 4 4 100.0 -200.0 -200.0 -200.0
Im046_0 1 0 1 1 0.0 100.0 100.0 100.0
Im047_0 2 2 2 2 100.0 100.0 100.0 100.0
Im048_1 26 54 20 26 -7.692307692307687 76.92307692307692 100.0 100.0
Im049_1 22 73 20 28 -131.81818181818184 90.9090909090909 72.72727272727273 72.72727272727273
Im050_1 21 33 20 23 42.85714285714286 95.23809523809523 90.47619047619048 90.47619047619048
Im051_1 25 47 20 20 12.0 80.0 80.0 80.0
Im052_1 33 82 20 30 -48.484848484848484 60.60606060606061 90.9090909090909 90.9090909090909
Im053_1 52 66 20 48 73.07692307692308 38.46153846153846 92.3076923076923 92.3076923076923
Im054_1 22 42 20 21 9.090909090909093 90.9090909090909 95.45454545454545 95.45454545454545
Im055_1 29 36 20 29 75.86206896551724 68.96551724137932 100.0 100.0
Im056_1 22 117 20 23 -331.8181818181818 90.9090909090909 95.45454545454545 95.45454545454545
Im057_1 24 93 20 26 -187.5 83.33333333333334 91.66666666666666 91.66666666666666
Im058_1 33 81 20 33 -45.45454545454546 60.60606060606061 100.0 100.0
